               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.030061,            0.030892,            0.002146,             0.85203,             0.80587,             0.88873,             0.63794,             0.02881,            0.022649,           0.0096814,            0.005197,            0.005197,            0.005197
                  51,            0.029863,            0.028972,           0.0024319,             0.81309,             0.81827,             0.88764,             0.65744,             0.02721,            0.022241,           0.0099815,            0.005099,            0.005099,            0.005099
                  52,            0.029231,            0.030649,           0.0028165,             0.85151,             0.77195,             0.87105,             0.63211,            0.028512,            0.022475,             0.01064,            0.005001,            0.005001,            0.005001
                  53,            0.028383,            0.027539,           0.0023912,             0.85266,             0.77774,             0.87331,             0.63122,            0.028327,            0.022639,            0.010717,            0.004903,            0.004903,            0.004903
                  54,            0.027486,            0.029645,           0.0023219,             0.81368,              0.8145,             0.86711,             0.64005,            0.028309,            0.022679,            0.010716,            0.004805,            0.004805,            0.004805
                  55,            0.027819,            0.029917,            0.002227,              0.8224,             0.80299,             0.87505,             0.64113,            0.029138,            0.023084,            0.010906,           0.0047069,           0.0047069,           0.0047069
                  56,             0.02823,            0.029664,           0.0018918,             0.86521,             0.79424,             0.88866,             0.65806,            0.028417,            0.022741,            0.010005,           0.0046089,           0.0046089,           0.0046089
                  57,            0.028142,            0.029308,            0.002545,             0.84976,             0.79924,             0.89445,             0.65128,            0.028418,            0.022557,           0.0098946,           0.0045109,           0.0045109,           0.0045109
                  58,            0.027342,            0.027406,           0.0021983,             0.84607,             0.80936,             0.89311,             0.65604,            0.027691,            0.022956,            0.010423,           0.0044129,           0.0044129,           0.0044129
                  59,            0.027732,            0.027709,           0.0024192,             0.79877,             0.85452,             0.88842,             0.66044,             0.02739,            0.023031,            0.010702,           0.0043149,           0.0043149,           0.0043149
                  60,            0.027124,            0.029388,           0.0018297,             0.81177,             0.81643,             0.88598,             0.65304,            0.027421,            0.022327,            0.010948,           0.0042168,           0.0042168,           0.0042168
                  61,            0.027015,            0.029554,           0.0018445,             0.83547,             0.78568,             0.88595,             0.65475,            0.027129,            0.022013,            0.011223,           0.0041188,           0.0041188,           0.0041188
                  62,            0.026756,            0.028721,           0.0018386,             0.78479,             0.84867,             0.89197,             0.66055,            0.028008,            0.022959,            0.012428,           0.0040208,           0.0040208,           0.0040208
                  63,            0.026404,            0.027958,            0.001861,             0.83796,              0.7989,             0.88775,             0.66327,            0.027586,            0.022583,            0.012025,           0.0039228,           0.0039228,           0.0039228
                  64,            0.026583,            0.027106,           0.0021796,             0.83008,             0.81042,             0.88805,             0.66433,            0.027555,            0.022866,            0.012042,           0.0038248,           0.0038248,           0.0038248
